FIPS,county,sFIPS,state,date,Tot_pop,Pop_o_60,Pop_m,Pop_white,Pop_black,Pop_AmIndAlNat,Pop_asia,Pop_NaHaPaIs,Income,Bachelor,caseNew,daysSinceC,deathNew,daysSinceD,hospitals,nursing,universities,hospRate,cTest,Province_State,sTest
36001,Albany,36,NY,4/13/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,21,32,2,15,7,21,21,10.28113685,216,New York,16756
36001,Albany,36,NY,4/14/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,36,33,2,16,7,21,21,8.751964286,106,New York,20786
36001,Albany,36,NY,4/15/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,13,34,4,17,7,21,21,11.80011492,301,New York,26869
36001,Albany,36,NY,4/16/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,33,35,0,18,7,21,21,10.62265205,273,New York,24567
36001,Albany,36,NY,4/17/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,38,36,0,19,7,21,21,10.54109618,291,New York,0
36001,Albany,36,NY,4/18/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,29,37,0,20,7,21,21,10.10783062,305,New York,45953
36001,Albany,36,NY,4/19/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,34,38,0,21,7,21,21,7.375708982,103,New York,21023
36001,Albany,36,NY,4/20/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,5,39,2,22,7,21,21,7.232986209,164,New York,16306
36001,Albany,36,NY,4/21/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,17,40,1,23,7,21,21,6.636608911,236,New York,15464
36001,Albany,36,NY,4/22/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,33,41,0,24,7,21,21,7.656057284,178,New York,20657
36001,Albany,36,NY,4/23/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,21,42,7,25,7,21,21,7.182013791,319,New York,25938
36001,Albany,36,NY,4/24/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,47,43,1,26,7,21,21,6.070815064,626,New York,34736
36001,Albany,36,NY,4/25/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,94,44,0,27,7,21,21,5.45914604,402,New York,46912
36001,Albany,36,NY,4/26/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,49,45,1,28,7,21,21,5.586577086,263,New York,27782
36001,Albany,36,NY,4/27/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,31,46,4,29,7,21,21,5.413270863,197,New York,20745
36001,Albany,36,NY,4/28/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,30,47,0,30,7,21,21,3.873903819,351,New York,18899
36001,Albany,36,NY,4/29/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,58,48,0,31,7,21,21,5.545799151,439,New York,27487
36001,Albany,36,NY,4/30/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,98,49,5,32,7,21,21,4.842379774,378,New York,28155
36001,Albany,36,NY,5/1/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,39,50,3,33,7,21,21,4.200127299,434,New York,26802
36001,Albany,36,NY,5/2/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,34,51,0,34,7,21,21,3.659819661,441,New York,31633
36001,Albany,36,NY,5/3/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,20,52,5,35,7,21,21,4.210321782,391,New York,26840
36001,Albany,36,NY,5/4/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,29,53,0,36,7,21,21,3.099123055,130,New York,21399
36001,Albany,36,NY,5/5/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,7,54,0,37,7,21,21,2.762705092,367,New York,21589
36001,Albany,36,NY,5/6/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,27,55,4,38,7,21,21,3.323401697,407,New York,0
36001,Albany,36,NY,5/7/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,27,56,0,39,7,21,21,3.195970651,385,New York,61017
36001,Albany,36,NY,5/8/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,36,57,0,40,7,21,21,2.716829915,488,New York,31627
36001,Albany,36,NY,5/9/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,32,58,6,41,7,21,21,2.828969236,455,New York,32225
36001,Albany,36,NY,5/10/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,16,59,0,42,7,21,21,2.426287129,384,New York,29230
36001,Albany,36,NY,5/11/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,24,60,0,43,7,21,21,2.207105728,341,New York,21653
36001,Albany,36,NY,5/12/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,23,61,2,44,7,21,21,1.503686351,335,New York,20462
36001,Albany,36,NY,5/13/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,15,62,1,45,7,21,21,2.645468529,546,New York,33794
36001,Albany,36,NY,5/14/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,15,63,4,46,7,21,21,2.273369873,541,New York,39850
36001,Albany,36,NY,5/15/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,29,64,1,47,7,21,21,1.671895332,482,New York,39291
36001,Albany,36,NY,5/16/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,34,65,1,48,7,21,21,2.166327794,411,New York,40669
36001,Albany,36,NY,5/17/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,7,66,0,49,7,21,21,1.875785007,342,New York,34679
36001,Albany,36,NY,5/18/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,31,67,0,50,7,21,21,1.661700849,398,New York,26161
36001,Albany,36,NY,5/19/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,45,68,1,51,7,21,21,1.36606082,697,New York,28182
36001,Albany,36,NY,5/20/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,27,69,0,52,7,21,21,1.478200141,650,New York,38097
36001,Albany,36,NY,5/21/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,18,70,0,53,7,21,21,0.912406294,920,New York,49219
36001,Albany,36,NY,5/22/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,56,71,0,54,7,21,21,1.044934583,655,New York,45738
36001,Albany,36,NY,5/23/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,14,72,7,55,7,21,21,1.223338048,438,New York,51268
36001,Albany,36,NY,5/24/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,12,73,0,56,7,21,21,1.22843529,378,New York,47765
36001,Albany,36,NY,5/25/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,9,74,0,57,7,21,21,1.172365629,328,New York,39623
36001,Albany,36,NY,5/26/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,2,75,0,58,7,21,21,0.672835926,369,New York,34679
36001,Albany,36,NY,5/27/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,3,76,0,59,7,21,21,0.917503536,666,New York,37416
36001,Albany,36,NY,5/28/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,18,77,0,60,7,21,21,0.897114569,416,New York,65245
36001,Albany,36,NY,5/29/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,20,78,0,61,7,21,21,0.774780764,521,New York,67341
36001,Albany,36,NY,5/30/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,9,79,0,62,7,21,21,1.050031825,760,New York,61251
36001,Albany,36,NY,5/31/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,17,80,0,63,7,21,21,0.968475955,537,New York,58444
36001,Albany,36,NY,6/1/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,22,81,36,64,7,21,21,0.575988331,618,New York,49952
36001,Albany,36,NY,6/2/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,18,82,0,65,7,21,21,0.805364215,1170,New York,54054
36001,Albany,36,NY,6/3/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,20,83,0,66,7,21,21,0.68303041,817,New York,61642
36001,Albany,36,NY,6/4/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,10,84,0,67,7,21,21,0,1179,New York,63559
36001,Albany,36,NY,6/5/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,11,85,0,68,7,21,21,0,1164,New York,66480
36001,Albany,36,NY,6/6/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,12,86,0,69,7,21,21,0,751,New York,77895
36001,Albany,36,NY,6/7/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,8,87,3,70,7,21,21,0,1194,New York,60435
36001,Albany,36,NY,6/8/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,17,88,0,71,7,21,21,0,616,New York,58054
36001,Albany,36,NY,6/9/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,5,89,0,72,7,21,21,0,569,New York,49973
36001,Albany,36,NY,6/10/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,3,90,0,73,7,21,21,0,774,New York,62297
36001,Albany,36,NY,6/11/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,10,91,0,74,7,21,21,0,1103,New York,60839
36001,Albany,36,NY,6/12/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,11,92,3,75,7,21,21,0,739,New York,72395
36001,Albany,36,NY,6/13/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,9,93,0,76,7,21,21,0,874,New York,70840
36001,Albany,36,NY,6/14/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,4,94,0,77,7,21,21,0,496,New York,62359
36001,Albany,36,NY,6/15/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,2,95,0,78,7,21,21,0,577,New York,56611
36001,Albany,36,NY,6/16/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,4,96,0,79,7,21,21,0,592,New York,60568
36001,Albany,36,NY,6/17/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,3,97,0,80,7,21,21,0,843,New York,59341
36001,Albany,36,NY,6/18/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,5,98,0,81,7,21,21,0,1070,New York,68541
36001,Albany,36,NY,6/19/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,15,99,0,82,7,21,21,0,610,New York,79303
36001,Albany,36,NY,6/20/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,4,100,2,83,7,21,21,0,784,New York,68830
36001,Albany,36,NY,6/21/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,1,101,0,84,7,21,21,0,931,New York,67526
36001,Albany,36,NY,6/22/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,6,102,0,85,7,21,21,0,427,New York,56780
36001,Albany,36,NY,6/23/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,2,103,0,86,7,21,21,0,586,New York,48709
36001,Albany,36,NY,6/24/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,3,104,0,87,7,21,21,0,1325,New York,51144
36001,Albany,36,NY,6/25/2020,307426,69144,148910,232402,38407,516,19928,133,64535,84423,11,105,1,88,7,21,21,0,630,New York,67642
36003,Allegany,36,NY,4/13/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,28,0,-48,2,6,3,10.28113685,14,New York,16756
36003,Allegany,36,NY,4/14/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,2,29,0,-47,2,6,3,8.751964286,10,New York,20786
36003,Allegany,36,NY,4/15/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,30,0,-46,2,6,3,11.80011492,8,New York,26869
36003,Allegany,36,NY,4/16/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,31,0,-45,2,6,3,10.62265205,21,New York,24567
36003,Allegany,36,NY,4/17/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,1,32,0,-44,2,6,3,10.54109618,15,New York,0
36003,Allegany,36,NY,4/18/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,1,33,0,-43,2,6,3,10.10783062,7,New York,45953
36003,Allegany,36,NY,4/19/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,34,1,-42,2,6,3,7.375708982,5,New York,21023
36003,Allegany,36,NY,4/20/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,35,0,-41,2,6,3,7.232986209,9,New York,16306
36003,Allegany,36,NY,4/21/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,36,0,-40,2,6,3,6.636608911,10,New York,15464
36003,Allegany,36,NY,4/22/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,37,0,-39,2,6,3,7.656057284,14,New York,20657
36003,Allegany,36,NY,4/23/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,0,38,0,-38,2,6,3,7.182013791,10,New York,25938
36003,Allegany,36,NY,4/24/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,1,39,0,-37,2,6,3,6.070815064,61,New York,34736
36003,Allegany,36,NY,4/25/2020,47025,11561,23755,44860,652,133,525,12,47033,6102,4,40,0,-36,2,6,3,5.45914604,12,New York,46912
